"ID","Site","Depth","Disturbance","Age","Type","Measurement","Soil_C_Ref","Soil_C_Sec","Soil_type","proploss","proploss2","Prop","Ran"
"Eaton et al 2009","Eaton et al 2009j",15,"Arable agriculture",5,"Dry","Soil carbon",62.97872286,29.47367,"-9999",-0.532005911496186,-1.1858775445363,0.467994088503814,"62.97872286"
"Eaton et al 2009","Eaton et al 2009j",15,"Arable agriculture",5,"Dry","Soil carbon",315.00956125,224.8566,"-9999",-0.286191190172962,-0.588825411046785,0.713808809827038,"315.00956125"
"Eaton et al 2009","Eaton et al 2009k",15,"Arable agriculture",6,"Dry","Soil carbon",315.00956125,211.85468,"-9999",-0.327465873863218,-0.679974190341331,0.672534126136783,"315.00956125"
"Eaton et al 2009","Eaton et al 2009l",15,"Arable agriculture",7,"Dry","Soil carbon",315.00956125,231.73996,"-9999",-0.264339916920538,-0.541537291763998,0.735660083079462,"315.00956125"
"Eaton et al 2009","Eaton et al 2009m",15,"Arable agriculture",8,"Dry","Soil carbon",315.00956125,220.26769,"-9999",-0.300758716256267,-0.620707134240351,0.699241283743733,"315.00956125"
"Eaton et al 2009","Eaton et al 2009n",15,"Arable agriculture",8,"Dry","Soil carbon",315.00956125,204.97132,"-9999",-0.349317147115642,-0.729331572157877,0.650682852884358,"315.00956125"
"Eaton et al 2009","Eaton et al 2009o",15,"Arable agriculture",8,"Dry","Soil carbon",315.00956125,195.79349,"-9999",-0.378452231027321,-0.796503808225914,0.621547768972679,"315.00956125"
"Eaton et al 2009","Eaton et al 2009p",15,"Arable agriculture",8,"Dry","Soil carbon",315.00956125,191.9694,"-9999",-0.390591830805897,-0.824996441296608,0.609408169194103,"315.00956125"
"Eaton et al 2009","Eaton et al 2009q",15,"Arable agriculture",9,"Dry","Soil carbon",315.00956125,263.09751,"-9999",-0.164795160642128,-0.332623511403375,0.835204839357872,"315.00956125"
"Eaton et al 2009","Eaton et al 2009r",15,"Arable agriculture",10,"Dry","Soil carbon",315.00956125,185.08604,"-9999",-0.412443104058322,-0.87710309641136,0.587556895941678,"315.00956125"
"Eaton et al 2009","Eaton et al 2009s",15,"Arable agriculture",12,"Dry","Soil carbon",315.00956125,154.49331,"-9999",-0.509559934032002,-1.12427037104585,0.490440065967998,"315.00956125"
"Eaton et al 2009","Eaton et al 2009t",15,"Arable agriculture",12,"Dry","Soil carbon",315.00956125,228.68069,"-9999",-0.274051590394385,-0.562478378976733,0.725948409605615,"315.00956125"
"Eaton et al 2009","Eaton et al 2009v",15,"Arable agriculture",15,"Dry","Soil carbon",315.00956125,245.50668,"-9999",-0.220637370415689,-0.448651991989817,0.779362629584311,"315.00956125"
"Eaton et al 2009","Eaton et al 2009w",15,"Arable agriculture",16,"Dry","Soil carbon",315.00956125,210.32505,"-9999",-0.332321694727607,-0.69087185589241,0.667678305272393,"315.00956125"
"Eaton et al 2009","Eaton et al 2009x",15,"Arable agriculture",18,"Dry","Soil carbon",315.00956125,213.38432,"-9999",-0.32261002125376,-0.669115205574294,0.67738997874624,"315.00956125"
"Eaton et al 2009","Eaton et al 2009y",15,"Arable agriculture",18,"Dry","Soil carbon",315.00956125,259.27342,"-9999",-0.176934760420705,-0.357633209040511,0.823065239579295,"315.00956125"
"Eaton et al 2009","Eaton et al 2009z",15,"Arable agriculture",24,"Dry","Soil carbon",315.00956125,197.32314,"-9999",-0.373596346672795,-0.785192672987605,0.626403653327205,"315.00956125"
"Eaton et al 2009","Eaton et al 2009aa",15,"Arable agriculture",25,"Dry","Soil carbon",315.00956125,235.56405,"-9999",-0.252200317141961,-0.515522398136047,0.747799682858039,"315.00956125"
"Eaton et al 2009","Eaton et al 2009ab",15,"Arable agriculture",25,"Dry","Soil carbon",315.00956125,347.99235,"-9999",0.104704087771558,0.210178492399175,1.10470408777156,"315.00956125"
"Lugo et al 1986","Lugo et al 1986a",50,"Arable agriculture",9,"Wet","Soil carbon",111.4,72.81,"-9999",-0.34640933572711,-0.722715316800648,0.65359066427289,"111.4"
"Lugo et al 1986","Lugo et al 1986b",50,"Arable agriculture",18,"Wet","Soil carbon",111.4,60.75,"-9999",-0.454667863554758,-0.981137847366899,0.545332136445242,"111.4"
"Lugo et al 1986","Lugo et al 1986c",50,"Arable agriculture",23.5,"Wet","Soil carbon",111.4,67.98,"-9999",-0.389766606822262,-0.823049607508597,0.610233393177738,"111.4"
"Lugo et al 1986","Lugo et al 1986d",50,"Arable agriculture",39,"Wet","Soil carbon",111.4,83.68,"-9999",-0.248833034111311,-0.508336869729415,0.751166965888689,"111.4"
"Lugo et al 1986","Lugo et al 1986e",50,"Arable agriculture",43,"Wet","Soil carbon",111.4,95.56,"-9999",-0.142190305206463,-0.286320744423335,0.857809694793537,"111.4"
"Lugo et al 1986","Lugo et al 1986f",50,"Arable agriculture",50.5,"Wet","Soil carbon",111.4,88.17,"-9999",-0.208527827648115,-0.423263505892208,0.791472172351885,"111.4"
"Lugo et al 1986","Lugo et al 1986g",50,"Arable agriculture",25.5,"Moist","Soil carbon",152.89,71.3,"-9999",-0.53365164497351,-1.19047396898239,0.46634835502649,"152.89"
"Lugo et al 1986","Lugo et al 1986h",50,"Arable agriculture",39,"Moist","Soil carbon",152.89,95.86,"-9999",-0.373013277519785,-0.783837712024239,0.626986722480215,"152.89"
"Lugo et al 1986","Lugo et al 1986i",50,"Arable agriculture",54,"Moist","Soil carbon",152.89,140.6,"-9999",-0.0803845902282686,-0.161116809006006,0.919615409771731,"152.89"
"Lugo et al 1986","Lugo et al 1986j",25,"Arable agriculture",11,"Dry","Soil carbon",59.51,51.78,"-9999",-0.129894135439422,-0.261264334217023,0.870105864560578,"59.51"
"Lugo et al 1986","Lugo et al 1986k",25,"Arable agriculture",35,"Dry","Soil carbon",59.51,74.55,"-9999",0.252730633506974,0.516655236688143,1.25273063350697,"59.51"
"Lugo et al 1986","Lugo et al 1986l",25,"Arable agriculture",50,"Dry","Soil carbon",59.51,86.54,"-9999",0.454209376575366,0.979982219503262,1.45420937657537,"59.51"
