Study,Site,Disturbance,Age,Type,Ref_Type,Ref_age,Country,Lat,Long
Diekmann et al 2007,Diekmann et al 2007a,Shifting agriculture,8,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.45
Diekmann et al 2007,Diekmann et al 2007b,Shifting agriculture,8,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.45
Eaton et al 2006,Eaton et al 2006l,Shifting agriculture,8,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.45
Eaton et al 2006,Eaton et al 2006m,Shifting agriculture,8,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.45
Gehring et al 2005,Gehring et al 2005g,Shifting agriculture,8,Tropical moist forest,Primary forest,-9999,Brazil,-3,-60
Kappelle et al 1995,Kappelle et al 1995a,Pasture,8,Tropical montane forest,Primary forest,-9999,Costa Rica,9.594444444,-83.74166667
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011g,Pasture,8,Tropical montane forest,Primary forest,-9999,Mexico,19.48116667,-96.91666667
Sierra et al 2007,Sierra et al 2007f,Pasture,8,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
Cifuentes Jara 2008,Cifuentes Jara 2008a,Pasture,9,Tropical dry forest,Primary forest,-9999,Costa Rica,10.8732,-85.5788
Cifuentes Jara 2008,Cifuentes Jara 2008o,Pasture,9,Tropical moist forest,Primary forest,-9999,Costa Rica,9.7876,-84.9392
Cifuentes Jara 2008,Cifuentes Jara 2008am,Pasture,9,Tropical rainforest,Primary forest,-9999,Costa Rica,10.4553,-84.0665
Eaton et al 2009,Eaton et al 2009q,Arable agriculture,9,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Reiners et al 1994,Reiners et al 1994a,Pasture,9,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-84
Reiners et al 1994,Reiners et al 1994c,Pasture,9,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-84
Read et al 2003,Read et al 2003z,Shifting agriculture,9,Tropical dry forest,Primary forest,-9999,Mexico,17.88333333,-89.28333333
Benavides et al 2006,Benavides et al 2006H,Shifting agriculture,9,Tropical rainforest,Primary forest,-9992,Brazil,-3,-69.5
Eaton et al 2006,Eaton et al 2006k,Shifting agriculture,9,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.45
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011h,Pasture,9,Tropical montane forest,Primary forest,-9999,Mexico,19.48116667,-96.91666667
Saldarriaga et al 1988,Saldarriaga et al 1988a,Shifting agriculture,9,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Kotto-Same et al 1997,Kotto-Same et al 1997b,Shifting agriculture,10,Tropical moist forest,Primary forest,-9999,Cameroon,2.433,11.25
Kotto-Same et al 1997,Kotto-Same et al 1997e,Shifting agriculture,10,Tropical moist forest,Primary forest,-9999,Cameroon,3.6,11.62
Kotto-Same et al 1997,Kotto-Same et al 1997h,Shifting agriculture,10,Tropical moist forest,Primary forest,-9999,Cameroon,4.25,11.25
Cifuentes Jara 2008,Cifuentes Jara 2008b,Pasture,10,Tropical dry forest,Primary forest,-9999,Costa Rica,10.8883,-85.6
Cifuentes Jara 2008,Cifuentes Jara 2008c,Pasture,10,Tropical dry forest,Primary forest,-9999,Costa Rica,10.8889,-85.6004
Cifuentes Jara 2008,Cifuentes Jara 2008x,Pasture,10,Tropical rainforest,Primary forest,-9999,Costa Rica,9.7792,-84.618
Cifuentes Jara 2008,Cifuentes Jara 2008ac,Pasture,10,Tropical rainforest,Primary forest,-9999,Costa Rica,10.4556,-84.1763
Cifuentes Jara 2008,Cifuentes Jara 2008au,Pasture,10,Tropical rainforest,Primary forest,-9999,Costa Rica,10.2822,-84.1502
Eaton et al 2009,Eaton et al 2009r,Arable agriculture,10,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Hughes et al 1999,Hughes et al 1999e,Arable agriculture,10,Tropical moist forest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
Johnson et al 2001,Johnson et al 2001a,Shifting agriculture,10,NA,Primary forest,-9999,Brazil,-1.2,-47.25833333
Read et al 2003,Read et al 2003g,Shifting agriculture,10,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.38333333
Kennard et al 2002,Kennard et al 2002f,Shifting agriculture,10,Tropical dry forest,Primary forest,-9999,Bolivia,-16.75,-61.75
Becknell 2012,Becknell 2012K,Pasture,10,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012L,Pasture,10,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012M,Pasture,10,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006I,Shifting agriculture,10,Tropical rainforest,Primary forest,-9991,Brazil,-3,-69.5
